"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
1;"1";"0000000001";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1717945;"MARCA: ADATA";"MARCA: ADATA";"MARCA: ADATA";"MARCA";"ADATA"
2;"2";"0000000002";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";2501125;"MARCA: QOSOFT";"MARCA: QOSOFT";"MARCA: QOSOFT";"MARCA";"QOSOFT"
3;"3";"0000000003";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1698735;"MARCA: SANDISK";"MARCA: SANDISK";"MARCA: SANDISK";"MARCA";"SANDISK"
4;"4";"0000000004";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1937468;"MARCA: WESTERN DIGITAL";"MARCA: WESTERN DIGITAL";"MARCA: WESTERN DIGITAL";"MARCA";"WESTERN DIGITAL"
5;"5";"0000000005";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1937453;"MARCA: JFA TECHNOLOGY";"MARCA: JFA TECHNOLOGY";"MARCA: JFA TECHNOLOGY";"MARCA";"JFA TECHNOLOGY"
6;"6";"0000000006";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";2776879;"MARCA: MADI-TEK";"MARCA: MADI-TEK";"MARCA: MADI-TEK";"MARCA";"MADI-TEK"
7;"7";"0000000007";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1887655;"MARCA: VASTEC";"MARCA: VASTEC";"MARCA: VASTEC";"MARCA";"VASTEC"
8;"8";"0000000008";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";2611060;"MARCA: WORLDLIFE";"MARCA: WORLDLIFE";"MARCA: WORLDLIFE";"MARCA";"WORLDLIFE"
9;"9";"0000000009";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1973316;"MARCA: KINGSTON";"MARCA: KINGSTON";"MARCA: KINGSTON";"MARCA";"KINGSTON"
10;"A";"000000000A";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26452;"UNIDAD_DE_DESPACHO";1698736;"U. DESPACHO: UNIDAD";"U. DESPACHO: UNIDAD";"U. DESPACHO: UNIDAD";"U. DESPACHO";"UNIDAD"
11;"B";"000000000B";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26454;"TIPO_DE_DISCO_DURO";1698737;"TIPO: HDD";"TIPO: HDD";"TIPO: HDD";"TIPO";"HDD"
12;"C";"000000000C";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26454;"TIPO_DE_DISCO_DURO";1698738;"TIPO: SSD";"TIPO: SSD";"TIPO: SSD";"TIPO";"SSD"
13;"D";"000000000D";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26454;"TIPO_DE_DISCO_DURO";1717890;"TIPO: SATA";"TIPO: SATA";"TIPO: SATA";"TIPO";"SATA"
14;"E";"000000000E";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698739;"CAPACIDAD: 2 TB";"CAPACIDAD: 2 TB";"CAPACIDAD: 2 TB";"CAPACIDAD";"2 TB"
15;"F";"000000000F";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698740;"CAPACIDAD: 1 TB";"CAPACIDAD: 1 TB";"CAPACIDAD: 1 TB";"CAPACIDAD";"1 TB"
16;"G";"000000000G";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698741;"CAPACIDAD: 120 GB";"CAPACIDAD: 120 GB";"CAPACIDAD: 120 GB";"CAPACIDAD";"120 GB"
17;"H";"000000000H";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698742;"CAPACIDAD: 240 GB";"CAPACIDAD: 240 GB";"CAPACIDAD: 240 GB";"CAPACIDAD";"240 GB"
