"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1717945;"MARCA: ADATA"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";2501125;"MARCA: QOSOFT"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1698735;"MARCA: SANDISK"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1937468;"MARCA: WESTERN DIGITAL"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1937453;"MARCA: JFA TECHNOLOGY"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";2776879;"MARCA: MADI-TEK"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1887655;"MARCA: VASTEC"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";2611060;"MARCA: WORLDLIFE"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26450;"MARCA";1973316;"MARCA: KINGSTON"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26452;"UNIDAD_DE_DESPACHO";1698736;"U. DESPACHO: UNIDAD"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26454;"TIPO_DE_DISCO_DURO";1698737;"TIPO: HDD"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26454;"TIPO_DE_DISCO_DURO";1698738;"TIPO: SSD"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26454;"TIPO_DE_DISCO_DURO";1717890;"TIPO: SATA"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698739;"CAPACIDAD: 2 TB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698740;"CAPACIDAD: 1 TB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698741;"CAPACIDAD: 120 GB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698742;"CAPACIDAD: 240 GB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698743;"CAPACIDAD: 256 GB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698744;"CAPACIDAD: 512 GB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698745;"CAPACIDAD: 480 GB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26455;"CAPACIDAD";1698746;"CAPACIDAD: 4 TB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26456;"FACTOR_DE_FORMA";1698747;"FACTOR DE FORMA: 2.5"""
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26456;"FACTOR_DE_FORMA";1698748;"FACTOR DE FORMA: 3.5"""
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26456;"FACTOR_DE_FORMA";1698749;"FACTOR DE FORMA: M.2 2242"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26456;"FACTOR_DE_FORMA";1698750;"FACTOR DE FORMA: M.2 2280"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698751;"INTERFAZ: USB"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698752;"INTERFAZ: ESATA"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698753;"INTERFAZ: PCLE/NVME"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698754;"INTERFAZ: FIREWIRE"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26457;"INTERFAZ";1698755;"INTERFAZ: SATA"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26919;"VELOCIDAD_DE_ROTACION";1717904;"VELOCIDAD DE ROTACION: 7200 RPM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26919;"VELOCIDAD_DE_ROTACION";1717906;"VELOCIDAD DE ROTACION: 5400 RPM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26919;"VELOCIDAD_DE_ROTACION";1717907;"VELOCIDAD DE ROTACION: NO APLICA"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26920;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS";1717911;"VELOCIDAD ESCRITURA: 1 MB/s A 50MB/s"
