"52154092-020100^60^^","52154093-020100^60^^","53019554-020100^60^^","53019555-020100^60^^","53019556-020100^60^^","53019557-020100^60^^","53019558-020100^60^^","53019559-020100^60^^","53623997-020100^60^^",
"52154092-020200^60^^","52154093-020200^60^^","53019554-020200^60^^","53019555-020200^60^^","53019556-020200^60^^","53019557-020200^60^^","53019558-020200^60^^","53019559-020200^60^^","53623997-020200^60^^",
"52154092-020300^60^^","52154093-020300^60^^","53019554-020300^60^^","53019555-020300^60^^","53019556-020300^60^^","53019557-020300^60^^","53019558-020300^60^^","53019559-020300^60^^","53623997-020300^60^^",
"52154092-020400^60^^","52154093-020400^60^^","53019554-020400^60^^","53019555-020400^60^^","53019556-020400^60^^","53019557-020400^60^^","53019558-020400^60^^","53019559-020400^60^^","53623997-020400^60^^",
"52154092-020500^60^^","52154093-020500^60^^","53019554-020500^60^^","53019555-020500^60^^","53019556-020500^60^^","53019557-020500^60^^","53019558-020500^60^^","53019559-020500^60^^","53623997-020500^60^^",
"52154092-020600^60^^","52154093-020600^60^^","53019554-020600^60^^","53019555-020600^60^^","53019556-020600^60^^","53019557-020600^60^^","53019558-020600^60^^","53019559-020600^60^^","53623997-020600^60^^",
"52154092-020700^60^^","52154093-020700^60^^","53019554-020700^60^^","53019555-020700^60^^","53019556-020700^60^^","53019557-020700^60^^","53019558-020700^60^^","53019559-020700^60^^","53623997-020700^60^^",
"52154092-020800^60^^","52154093-020800^60^^","53019554-020800^60^^","53019555-020800^60^^","53019556-020800^60^^","53019557-020800^60^^","53019558-020800^60^^","53019559-020800^60^^","53623997-020800^60^^",
"52154092-020900^60^^","52154093-020900^60^^","53019554-020900^60^^","53019555-020900^60^^","53019556-020900^60^^","53019557-020900^60^^","53019558-020900^60^^","53019559-020900^60^^","53623997-020900^60^^",
"52154092-021000^60^^","52154093-021000^60^^","53019554-021000^60^^","53019555-021000^60^^","53019556-021000^60^^","53019557-021000^60^^","53019558-021000^60^^","53019559-021000^60^^","53623997-021000^60^^",
"52154092-021100^60^^","52154093-021100^60^^","53019554-021100^60^^","53019555-021100^60^^","53019556-021100^60^^","53019557-021100^60^^","53019558-021100^60^^","53019559-021100^60^^","53623997-021100^60^^",
"52154092-021200^60^^","52154093-021200^60^^","53019554-021200^60^^","53019555-021200^60^^","53019556-021200^60^^","53019557-021200^60^^","53019558-021200^60^^","53019559-021200^60^^","53623997-021200^60^^",
"52154092-021300^60^^","52154093-021300^60^^","53019554-021300^60^^","53019555-021300^60^^","53019556-021300^60^^","53019557-021300^60^^","53019558-021300^60^^","53019559-021300^60^^","53623997-021300^60^^",
"52154092-021400^60^^","52154093-021400^60^^","53019554-021400^60^^","53019555-021400^60^^","53019556-021400^60^^","53019557-021400^60^^","53019558-021400^60^^","53019559-021400^60^^","53623997-021400^60^^",
"52154092-021500^60^^","52154093-021500^60^^","53019554-021500^60^^","53019555-021500^60^^","53019556-021500^60^^","53019557-021500^60^^","53019558-021500^60^^","53019559-021500^60^^","53623997-021500^60^^",
"52154092-021600^60^^","52154093-021600^60^^","53019554-021600^60^^","53019555-021600^60^^","53019556-021600^60^^","53019557-021600^60^^","53019558-021600^60^^","53019559-021600^60^^","53623997-021600^60^^",
"52154092-021700^60^^","52154093-021700^60^^","53019554-021700^60^^","53019555-021700^60^^","53019556-021700^60^^","53019557-021700^60^^","53019558-021700^60^^","53019559-021700^60^^","53623997-021700^60^^",
"52154092-021800^60^^","52154093-021800^60^^","53019554-021800^60^^","53019555-021800^60^^","53019556-021800^60^^","53019557-021800^60^^","53019558-021800^60^^","53019559-021800^60^^","53623997-021800^60^^",
"52154092-021900^60^^","52154093-021900^60^^","53019554-021900^60^^","53019555-021900^60^^","53019556-021900^60^^","53019557-021900^60^^","53019558-021900^60^^","53019559-021900^60^^","53623997-021900^60^^",
"52154092-022000^60^^","52154093-022000^60^^","53019554-022000^60^^","53019555-022000^60^^","53019556-022000^60^^","53019557-022000^60^^","53019558-022000^60^^","53019559-022000^60^^","53623997-022000^60^^",
"52154092-030100^60^^","52154093-030100^60^^","53019554-030100^60^^","53019555-030100^60^^","53019556-030100^60^^","53019557-030100^60^^","53019558-030100^60^^","53019559-030100^60^^","53623997-030100^60^^",
