ID_Caracteristica,Nombre_Caracteristica,ID_Valor,Nombre_Valor
26366,"PROCESADOR",3928131,"PROCESADOR: MEDIATEK DIMENSITY 9300+ OCTA CORE"
26366,"PROCESADOR",3928180,"PROCESADOR: UNISOC UIS7863 OCTA CORE"
26366,"PROCESADOR",3928127,"PROCESADOR: EXYNOS 1580 OCTA CORE"
26366,"PROCESADOR",1695311,"PROCESADOR: QUALCOMM SNAPDRAGON 870 "
26366,"PROCESADOR",1695312,"PROCESADOR: SPREADTRUM SC9863A "
26366,"PROCESADOR",1695313,"PROCESADOR: MEDIATEK MTK8167A "
26366,"PROCESADOR",1695314,"PROCESADOR: UNISOC T610"
26366,"PROCESADOR",1695315,"PROCESADOR: QUALCOMM SNAPDRAGON 730G OCTA CORE "
26366,"PROCESADOR",1695316,"PROCESADOR: MEDIATEK HELIO P22T "
26366,"PROCESADOR",1695317,"PROCESADOR: HISILICON KIRIN 710A "
26366,"PROCESADOR",1695318,"PROCESADOR: MEDIATEK MT8768 "
26366,"PROCESADOR",1695319,"PROCESADOR: INTEL CORE I3-8145U "
26366,"PROCESADOR",1695320,"PROCESADOR: HISILICON KIRIN 820 "
26366,"PROCESADOR",1695321,"PROCESADOR: Allwinner A133 (Quad Core)"
26366,"PROCESADOR",1695322,"PROCESADOR: Mediatek MT8768T OCTA CORE"
26366,"PROCESADOR",1695323,"PROCESADOR: Qualcomm | SM7225-4-AB OCTA CORE"
26366,"PROCESADOR",1695324,"PROCESADOR: Qualcomm | SM8450 OCTA CORE"
26366,"PROCESADOR",1695325,"PROCESADOR: UNISOC | T618 OCTA CORE "
26366,"PROCESADOR",1695326,"PROCESADOR: HISILICON KIRIN 990 OCTA CORE"
26366,"PROCESADOR",1695327,"PROCESADOR: ROCKCHIP RK3566 QUAD CORE"
26366,"PROCESADOR",1695328,"PROCESADOR: INTEL CORE I3-10100T"
26366,"PROCESADOR",1695329,"PROCESADOR: QUALCOMM SNAPDRAGON 662 OCTA CORE "
26366,"PROCESADOR",1695330,"PROCESADOR: QUALCOMM SNAPDRAGON 865 PLUS OCTA CORE "
26366,"PROCESADOR",1695331,"PROCESADOR: MediaTek MT8166"
26366,"PROCESADOR",1695332,"PROCESADOR: EXYNOS 9611 OCTA CORE"
26366,"PROCESADOR",1695334,"PROCESADOR: MEDIATEK MT8765B "
26366,"PROCESADOR",1695335,"PROCESADOR: MEDIATEK MTK8765 QUAD CORE"
26366,"PROCESADOR",1695336,"PROCESADOR: MEDIATEK MTK8167 QUAD CORE"
26366,"PROCESADOR",1695337,"PROCESADOR: MEDIATEK MT8765WB "
26366,"PROCESADOR",1695338,"PROCESADOR: SPREADTRUM SC9832E A53 CORTEX QUAD CORE"
26366,"PROCESADOR",1695339,"PROCESADOR: MEDIATEK MTK6762 A53 OCTA CORE"
26366,"PROCESADOR",1695340,"PROCESADOR: QUALCOMM SNAPDRAGON 439"
26366,"PROCESADOR",1695341,"PROCESADOR: MEDIATEK HELIO P22"
26366,"PROCESADOR",1695342,"PROCESADOR: QUALCOMM SNAPDRAGON 429 QUAD CORE"
26366,"PROCESADOR",1695343,"PROCESADOR: QUALCOMM SNAPDRAGON 855 OCTA CORE "
26366,"PROCESADOR",1695344,"PROCESADOR: QUALCOMM SNAPDRAGON 429 OCTA CORE "
26366,"PROCESADOR",1695345,"PROCESADOR: EXYNOS 7904 OCTA CORE"
26366,"PROCESADOR",1695346,"PROCESADOR: QUALCOMM SNAPDRAGON 670 OCTA CORE "
26366,"PROCESADOR",1695347,"PROCESADOR: MEDIATEK HELIO A22"
26366,"PROCESADOR",1695348,"PROCESADOR: QUALCOMM SNAPDRAGON 450 "
26366,"PROCESADOR",1695349,"PROCESADOR: MEDIATEK MT8167 A/D "
26366,"PROCESADOR",1695350,"PROCESADOR: HISILICON KIRIN 659  OCTA CORE A53"
26366,"PROCESADOR",1695351,"PROCESADOR: ROCKCHIP RK3326 QUAD CORE "
26366,"PROCESADOR",1695352,"PROCESADOR: MEDIATEK MT8121 "
26366,"PROCESADOR",1695353,"PROCESADOR: MEDIATEK MT8127 "
26366,"PROCESADOR",1695354,"PROCESADOR: MEDIATEK MT8161 "
26366,"PROCESADOR",1695355,"PROCESADOR: MEDIATEK MT8321 "
26366,"PROCESADOR",1695356,"PROCESADOR: MEDIATEK MT8382 "
26366,"PROCESADOR",1695357,"PROCESADOR: MEDIATEK MT8389 "
26366,"PROCESADOR",1695358,"PROCESADOR: QUALCOMM SNAPDRAGON 210 "
26366,"PROCESADOR",1695359,"PROCESADOR: QUALCOMM SNAPDRAGON 212 "
26366,"PROCESADOR",1695360,"PROCESADOR: QUALCOMM SNAPDRAGON 400 "
26366,"PROCESADOR",1695361,"PROCESADOR: QUALCOMM SNAPDRAGON 800 "
26366,"PROCESADOR",1695362,"PROCESADOR: ROCKCHIP RK3066 "
26366,"PROCESADOR",1695363,"PROCESADOR: ROCKCHIP RK3126 "
26366,"PROCESADOR",1695364,"PROCESADOR: ROCKCHIP RK3128 "
26366,"PROCESADOR",1695365,"PROCESADOR: SAMSUNG EXYNOS 5433 "
26366,"PROCESADOR",1695366,"PROCESADOR: MEDIATEK MT8735 "
26366,"PROCESADOR",1695367,"PROCESADOR: MEDIATEK MT8783T "
26366,"PROCESADOR",1695369,"PROCESADOR: INTEL CORE I7-5600U VPRO "
26366,"PROCESADOR",1695370,"PROCESADOR: INTEL ATOM X5-Z8550 "
26366,"PROCESADOR",1695371,"PROCESADOR: MEDIATEK MT8163 "
26366,"PROCESADOR",1695373,"PROCESADOR: INTEL CORE I5-6300U VPRO "
26366,"PROCESADOR",1695374,"PROCESADOR: INTEL CORE M5-6Y57 VPRO "
26366,"PROCESADOR",1695375,"PROCESADOR: INTEL CELERON N2807 "
26366,"PROCESADOR",1695376,"PROCESADOR: QUALCOMM SNAPDRAGON 425 QUAD CORE"
26366,"PROCESADOR",1695377,"PROCESADOR: QUALCOMM SNAPDRAGON 820 QUAD CORE"
26366,"PROCESADOR",1695378,"PROCESADOR: EXYNOS 7870 OCTA CORE"
26366,"PROCESADOR",1695379,"PROCESADOR: QUALCOMM SNAPDRAGON 652 OCTA CORE"
26366,"PROCESADOR",1695380,"PROCESADOR: SPREADTRUM 9830 QUAD CORE"
26366,"PROCESADOR",1695381,"PROCESADOR: INTEL CORE M-5Y71 Vpro "
26366,"PROCESADOR",1695382,"PROCESADOR: INTEL CORE M-5Y10C "
26366,"PROCESADOR",1695383,"PROCESADOR: INTEL CORE i7-7600U vPro "
26366,"PROCESADOR",1695384,"PROCESADOR: INTEL CORE i5-7200"
26366,"PROCESADOR",1695385,"PROCESADOR: EXYNOS 7870 "
26366,"PROCESADOR",1695386,"PROCESADOR: INTEL CORE i7-7500U "
26366,"PROCESADOR",1695387,"PROCESADOR: INTEL CORE i5-7300U vPro "
26366,"PROCESADOR",1695388,"PROCESADOR: INTEL ATOM X7 - Z8780 "
26366,"PROCESADOR",1695389,"PROCESADOR: INTEL ATOM X5 - Z8350 "
26366,"PROCESADOR",1695390,"PROCESADOR: SPREADTRUM SC7731E QUAD CORE"
26366,"PROCESADOR",1695391,"PROCESADOR: INTEL ATOM X7 - Z8700 "
26366,"PROCESADOR",1695392,"PROCESADOR: INTEL CORE I7 6600U VPRO "
26366,"PROCESADOR",1695393,"PROCESADOR: SPREADTRUM 7730 QUAD CORE"
26366,"PROCESADOR",1695394,"PROCESADOR: INTEL CORE M3 – DUAL CORE"
26366,"PROCESADOR",1695395,"PROCESADOR: MEDIATEK MT8735M "
26366,"PROCESADOR",1695396,"PROCESADOR: MEDIATEK MT8735B "
26366,"PROCESADOR",1695397,"PROCESADOR: INTEL CELERON N400 "
26366,"PROCESADOR",1695398,"PROCESADOR: QUALCOMM SNAPDRAGON 835 OCTA CORE "
26366,"PROCESADOR",1695399,"PROCESADOR: INTEL CORE I5-8365U "
26366,"PROCESADOR",1695400,"PROCESADOR: INTEL CORE I5-7Y57 VPRO "
26366,"PROCESADOR",1695401,"PROCESADOR: INTEL CORE I7-8665U VPRO "
26366,"PROCESADOR",1695402,"PROCESADOR: INTEL CORE I5-7300U VPRO "
26366,"PROCESADOR",1695403,"PROCESADOR: INTEL CORE I7-8650U"
26366,"PROCESADOR",1695404,"PROCESADOR: INTEL CORE I5-8350U"
26366,"PROCESADOR",1695405,"PROCESADOR: INTEL CORE I3-7100U "
26366,"PROCESADOR",1695406,"PROCESADOR: MEDIATEK MTK6753 CORTEX A53 OCTA CORE "
26366,"PROCESADOR",1695407,"PROCESADOR: QUALCOMM SNAPDRAGON 450 OCTA CORE"
26366,"PROCESADOR",1695408,"PROCESADOR: ALLWINNER A31 "
26366,"PROCESADOR",1695409,"PROCESADOR: INTEL ATOM X3-C3230RK "
26366,"PROCESADOR",1695410,"PROCESADOR: INTEL ATOM X5-Z8350 "
26366,"PROCESADOR",1695411,"PROCESADOR: INTEL ATOM X5-Z8500 "
26366,"PROCESADOR",1695412,"PROCESADOR: INTEL ATOM Z2760 "
26366,"PROCESADOR",1695413,"PROCESADOR: INTEL ATOM Z3735F "
26366,"PROCESADOR",1695414,"PROCESADOR: INTEL ATOM Z3735G "
