ID_Caracteristica,Nombre_Caracteristica,ID_Valor,Nombre_Valor
26281,"PANTALLA",1677536,"PANTALLA: LED TACTIL 75.0'' 3840x2160 PIXELES"
26281,"PANTALLA",1677537,"PANTALLA: LED TACTIL 85.0'' 3840x2160 PIXELES"
26281,"PANTALLA",1677538,"PANTALLA: LED TACTIL 55.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677539,"PANTALLA: LCD 70.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677540,"PANTALLA: LED TACTIL 65.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677541,"PANTALLA: LCD 65.5"" 1920x1080 PIXELES"
26281,"PANTALLA",1677542,"PANTALLA: LCD 75.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677543,"PANTALLA: LCD 84.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677544,"PANTALLA: LED 86.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677545,"PANTALLA: LCD TFT 86.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677546,"PANTALLA: LED TACTIL 70.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677547,"PANTALLA: LED TACTIL 86.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677548,"PANTALLA: LED TACTIL 85.6"" 3840X2160 PIXELES"
26281,"PANTALLA",1677549,"PANTALLA: LCD TACTIL 55.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677550,"PANTALLA: LCD TFT 85.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677551,"PANTALLA: LED TACTIL 90.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677552,"PANTALLA: LCD TFT 75.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677553,"PANTALLA: LED 55.0"" 3840X1080 PIXELES"
26281,"PANTALLA",1677554,"PANTALLA: LED 98.0"" 3840X1080 PIXELES"
26281,"PANTALLA",1677555,"PANTALLA: LED 75.0"" 3840X1080 PIXELES"
26281,"PANTALLA",1677556,"PANTALLA: LED 86.0"" 3840X1080 PIXELES"
26281,"PANTALLA",1677557,"PANTALLA: LED 65.0"" 3840X1080 PIXELES"
26281,"PANTALLA",1677558,"PANTALLA: LED 70.0"" 3840X1080 PIXELES"
26281,"PANTALLA",1677559,"PANTALLA: LED TACTIL 49.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677560,"PANTALLA: LED TFT TACTIL 74.5"" 3840X2160 PIXELES"
26281,"PANTALLA",1677561,"PANTALLA: LED TACTIL 43.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677562,"PANTALLA: LCD TACTIL 86.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677563,"PANTALLA: LCD TACTIL 65.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677564,"PANTALLA: LED TACTIL 32.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677565,"PANTALLA: LCD TFT 65.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677566,"PANTALLA: LCD TACTIL 75.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677567,"PANTALLA: LED 48.9"" 3840X1080 PIXELES"
26281,"PANTALLA",1677568,"PANTALLA: LED TACTIL 98.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677569,"PANTALLA: LCD TACTIL 43.0"" 3840X2160 PIXELES"
26281,"PANTALLA",1677570,"PANTALLA: LCD TACTIL 54.64"" 1920X1080 PIXELES"
26281,"PANTALLA",1677571,"PANTALLA: LED TACTIL 54.6"" 1920X1080 PIXELES"
26281,"PANTALLA",1677572,"PANTALLA: LED 80.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677573,"PANTALLA: LED 75.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677574,"PANTALLA: LED 70.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677575,"PANTALLA: LED TACTIL 80.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677576,"PANTALLA: LED TACTIL 70.0"" 1920X1080 PIXELES"
26281,"PANTALLA",1677577,"PANTALLA: LED 84.0"" 3840X2160 PIXELES"
