idProcc,ValProcc,ValPdf,launchDate
3399369,INTEL CORE I5-12600K,Intel® Core™ I5-12600K,2021
3399370,AMD RYZEN 5 5600G,AMD Ryzen™ 5 5600G,2021
3399371,AMD RYZEN 5 5600X,AMD Ryzen™ 5 5600X,2020
3399372,RYZEN 5 PRO 5650G,AMD Ryzen™ 5 5650G,2021
3399373,RYZEN 5 PRO 5650GE,AMD Ryzen™ 5 PRO 5650GE,2021
3399374,RYZEN 5 PRO 8600G,AMD Ryzen™ 5 PRO 8600G,2023
3399375,AMD RYZEN 7 5700G,AMD Ryzen™ 7 5700G,2021
3399376,RYZEN 7 PRO 5750G,AMD Ryzen™ 7 PRO 5750G,2021
3399377,RYZEN 7 PRO 5750GE,AMD Ryzen™ 7 PRO 5750GE,2021
3399378,RYZEN 7 PRO 8700G,AMD Ryzen™ 7 PRO 8700G,2023
3399379,INTEL CORE I3-10100,Intel® Core™ I3-10100,2020
3399380,INTEL CORE I3-10105,Intel® Core™ I3-10105,2021
3399381,INTEL CORE I3-12100,Intel® Core™ I3-12100,2022
3399382,INTEL CORE I3-12100F,Intel® Core™ I3-12100F,2022
3399383,INTEL CORE I3-13100,Intel® Core™ I3-13100,2023
3399384,INTEL CORE I3-14100,Intel® Core™ I3-14100,2024
3399385,INTELCOREI5-10400,Intel® Core™ I5-10400,2020
3399386,INTELCOREI5-10400F,Intel® Core™ I5-10400F,2020
3399387,INTELCOREI5-10400T,Intel® Core™ I5-10400T,2020
3399388,INTELCOREI5-10600K,Intel® Core™ I5-10600K,2020
3399389,INTELCOREi5-11400,Intel® Core™ i5-11400,2021
3399390,INTELCOREi5-11400F,Intel® Core™ i5-11400F,2021
3399391,INTEL CORE I5-11600K,Intel® Core™ I5-11600K,2021
3399392,INTEL CORE I5-12400,Intel® Core™ I5-12400,2022
3399393,INTEL CORE I5-12400F,Intel® Core™ I5-12400F,2022
3399394,INTEL CORE I5-12500,Intel® Core™ I5-12500,2022
3399395,INTEL CORE I5-12500T,Intel® Core™ I5-12500T,2022
3399396,INTEL CORE I5-13400,Intel® Core™ I5-13400,2023
3399397,INTEL CORE I5-13400F,Intel® Core™ I5-13400F,2023
3399398,INTEL CORE I5-13500,Intel® Core™ I5-13500,2023
3399399,INTEL CORE I5-13500T,Intel® Core™ I5-13500T,2023
3399400,INTEL CORE I5-13600K,Intel® Core™ I5-13600K,2022
3399401,INTEL CORE I5-13600KF,Intel® Core™ I5-13600KF,2022
3399402,INTEL CORE I5-14400,Intel® Core™ I5-14400,2024
3399403,INTEL CORE I5-14500,Intel® Core™ I5-14500,2024
3399404,INTEL CORE I5-14500T,Intel® Core™ I5-14500T,2024
3399405,INTEL CORE I5-14600K,Intel® Core™ I5-14600K,2024
3399406,INTEL CORE I5-14600KF,Intel® Core™ I5-14600KF,2024
3399407,INTEL CORE I7-10700,Intel® Core™ I7-10700,2020
