ID_Caracteristica,Nombre_Caracteristica,ID_Valor,Nombre_Valor
26211,"PROCESADOR",1740443,"PROCESADOR: INTEL CORE I7-13700"
26211,"PROCESADOR",1740444,"PROCESADOR: INTEL CORE I7-13700F"
26211,"PROCESADOR",1740445,"PROCESADOR: INTEL CORE I9-13900KF"
26211,"PROCESADOR",1722219,"PROCESADOR: INTEL CORE I9-13900K"
26211,"PROCESADOR",2489431,"PROCESADOR: INTEL CORE I7-14700K"
26211,"PROCESADOR",2489432,"PROCESADOR: INTEL CORE I9-14900K"
26211,"PROCESADOR",1597467,"PROCESADOR INTEL COREI7-2710QE"
26211,"PROCESADOR",1597469,"PROCESADOR INTEL COREI7-4700EQ"
26211,"PROCESADOR",1597470,"PROCESADOR: INTEL CORE I7-8700"
26211,"PROCESADOR",1597471,"PROCESADOR: INTEL CORE I7-8700K"
26211,"PROCESADOR",1597472,"PROCESADOR: AMD A8-9600"
26211,"PROCESADOR",1597476,"PROCESADOR: AMD RYZEN 7 1700"
26211,"PROCESADOR",1597481,"PROCESADOR: AMD A8-6600K"
26211,"PROCESADOR",1597484,"PROCESADOR: AMD ATHLON 5150"
26211,"PROCESADOR",1597490,"PROCESADOR: AMD A4-7300"
26211,"PROCESADOR",1597491,"PROCESADOR: AMD A8-6410"
26211,"PROCESADOR",1597493,"PROCESADOR: AMD A4 PRO-7300B"
26211,"PROCESADOR",1597495,"PROCESADOR: INTEL CORE I7-6950X"
26211,"PROCESADOR",1597496,"PROCESADOR: INTEL CORE I7-4790"
26211,"PROCESADOR",1597497,"PROCESADOR: AMD SEMPRON 2650"
26211,"PROCESADOR",1597498,"PROCESADOR: AMD A4-6300"
26211,"PROCESADOR",1597499,"PROCESADOR: AMD A4-6300B"
26211,"PROCESADOR",1597500,"PROCESADOR: AMD A8-6500B"
26211,"PROCESADOR",1597501,"PROCESADOR: AMD FX-8320"
26211,"PROCESADOR",1597503,"PROCESADOR: AMD A6-7400B"
26211,"PROCESADOR",1597504,"PROCESADOR: AMD E1-2500"
26211,"PROCESADOR",1597506,"PROCESADOR: INTEL CORE I7-6500U"
26211,"PROCESADOR",1597507,"PROCESADOR: AMD ATHLON X4 860K"
26211,"PROCESADOR",1597509,"PROCESADOR: INTEL CORE I7-6900K"
26211,"PROCESADOR",1597512,"PROCESADOR: AMD A6-5400K"
26211,"PROCESADOR",1597516,"PROCESADOR: INTEL PENTIUM G3240"
26211,"PROCESADOR",1597517,"PROCESADOR: INTEL CORE I7-5775C"
26211,"PROCESADOR",1597520,"PROCESADOR: INTEL CORE I7-4500U"
26211,"PROCESADOR",1597529,"PROCESADOR: INTEL CORE I7-12700F"
26211,"PROCESADOR",1597533,"PROCESADOR: INTEL CORE i9-11900F"
26211,"PROCESADOR",1597534,"PROCESADOR: INTEL CORE i9-11900KF"
26211,"PROCESADOR",1597535,"PROCESADOR: INTEL CORE i9-11900K"
26211,"PROCESADOR",1597536,"PROCESADOR: INTEL CORE i7-11700"
