ID_Caracteristica,Nombre_Caracteristica,ID_Valor,Nombre_Valor
26191,"EMPAQUE_DE_FABRICA",1679500,"EN: CAJA"
26323,"CONECTIVIDAD_MOVIL",1679501,"4G LTE"
26323,"CONECTIVIDAD_MOVIL",1679502,"NO APLICA"
26324,"PROCESADOR",3865035,"PROCESADOR : AMD Ryzen 7 8840U"
26324,"PROCESADOR",3995701,"PROCESADOR: INTEL CORE I7-13620H"
26324,"PROCESADOR",3995702,"PROCESADOR: INTEL CORE I9-12900HK"
26324,"PROCESADOR",3865043,"PROCESADOR: AMD Ryzen AI 7 PRO 360"
26324,"PROCESADOR",3995830,"PROCESADOR: INTEL CORE ULTRA 5 225H"
26324,"PROCESADOR",3995832,"PROCESADOR: INTEL CORE ULTRA 5 225U"
26324,"PROCESADOR",3995833,"PROCESADOR: INTEL CORE ULTRA 5 235H"
26324,"PROCESADOR",3995835,"PROCESADOR: INTEL CORE ULTRA 7 255H"
26324,"PROCESADOR",3995838,"PROCESADOR: INTEL CORE ULTRA 7 265H"
26324,"PROCESADOR",3995834,"PROCESADOR: INTEL CORE ULTRA 5 235U"
26324,"PROCESADOR",3741041,"PROCESADOR: INTEL CORE i7-13650HX"
26324,"PROCESADOR",2823187,"PROCESADOR: AMD RYZEN 7 7840U"
26324,"PROCESADOR",3741043,"PROCESADOR: INTEL CORE ULTRA 7 258V"
26324,"PROCESADOR",3137212,"PROCESADOR: INTEL CORE 7 150U"
26324,"PROCESADOR",1724482,"PROCESADOR: AMD RYZEN 7 PRO 5875U"
26324,"PROCESADOR",1838454,"PROCESADOR: AMD RYZEN 7 PRO 7730U"
26324,"PROCESADOR",1838460,"PROCESADOR: INTEL CORE I7-1365U"
26324,"PROCESADOR",2747151,"PROCESADOR: INTEL CORE ULTRA 5 125H"
26324,"PROCESADOR",2747155,"PROCESADOR: INTEL CORE ULTRA 5 135U"
26324,"PROCESADOR",2747162,"PROCESADOR: INTEL CORE ULTRA 7 155H"
26324,"PROCESADOR",2747165,"PROCESADOR: INTEL CORE ULTRA 7 155U"
26324,"PROCESADOR",1782514,"PROCESADOR: INTEL CORE I7-1355U"
26324,"PROCESADOR",2745886,"PROCESADOR: INTEL CORE ULTRA 7 165U"
26324,"PROCESADOR",2034115,"PROCESADOR: AMD RYZEN 7 7730U"
26324,"PROCESADOR",1679503,"PROCESADOR : AMD 3015e"
26324,"PROCESADOR",1679506,"PROCESADOR : AMD Ryzen 7 5825U"
26324,"PROCESADOR",1679509,"PROCESADOR: INTEL CORE I7-1255U"
26324,"PROCESADOR",1679510,"PROCESADOR: INTEL CORE I7-1265U"
26324,"PROCESADOR",1679513,"PROCESADOR: INTEL CORE I7-12800HX"
26324,"PROCESADOR",1679515,"PROCESADOR: INTEL CORE I7-10810U"
26324,"PROCESADOR",1679516,"PROCESADOR: INTEL CORE I7-11370H"
26324,"PROCESADOR",1679521,"PROCESADOR: AMD RYZEN 7 5800H"
26324,"PROCESADOR",1679522,"PROCESADOR: INTEL CORE I7-1260P"
26324,"PROCESADOR",1679523,"PROCESADOR: INTEL CORE i7-8750H"
26324,"PROCESADOR",1679524,"PROCESADOR: AMD RYZEN PRO APU R7-2700U"
26324,"PROCESADOR",1679525,"PROCESADOR: INTEL CORE XEON E-2176M"
26324,"PROCESADOR",1679530,"PROCESADOR: INTEL CORE I7-8850H"
26324,"PROCESADOR",1679531,"PROCESADOR: AMD ATHLON GOLD 3150U"
26324,"PROCESADOR",1679533,"PROCESADOR: INTEL CORE i7-11700"
26324,"PROCESADOR",1679536,"PROCESADOR: AMD A12 PRO-8830B"
26324,"PROCESADOR",1679538,"PROCESADOR: INTEL CORE i7 - 4610 M VPRO"
26324,"PROCESADOR",1679540,"PROCESADOR: INTEL CORE i7 - 6500U"
26324,"PROCESADOR",1679542,"PROCESADOR: INTEL CORE i7 - 4810 MQ VPRO"
26324,"PROCESADOR",1679543,"PROCESADOR: INTEL CORE i7-8650U"
26324,"PROCESADOR",1679546,"PROCESADOR: AMD E2-9000E"
