Categ;TípoProd;CodProd;DescProd;TipoGen;Caract
CE;ALMACENAMIENTO;1597864;ALMACENAMIENTO: 1 TB HDD 5400 RPM;ALMACENAMIENTO;1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597034;ALMACENAMIENTO: 1 TB HDD 5400 RPM;ALMACENAMIENTO;1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597855;ALMACENAMIENTO: 1 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597023;ALMACENAMIENTO: 1 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597934;ALMACENAMIENTO: 1 TB M.2 SSD;ALMACENAMIENTO;1 TB M.2 SSD
CE;ALMACENAMIENTO;1597053;ALMACENAMIENTO: 1 TB M.2 SSD;ALMACENAMIENTO;1 TB M.2 SSD
CE;ALMACENAMIENTO;1744331;ALMACENAMIENTO: 1 TB M.2 SSD / 2 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB M.2 SSD / 2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597937;ALMACENAMIENTO: 1 TB M.2 SSD NVMe;ALMACENAMIENTO;1 TB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597054;ALMACENAMIENTO: 1 TB M.2 SSD NVMe;ALMACENAMIENTO;1 TB M.2 SSD NVMe
CE;ALMACENAMIENTO;2129983;ALMACENAMIENTO: 1 TB M.2 SSD NVMe / 2 TB M.2 SSD NVMe;ALMACENAMIENTO;1 TB M.2 SSD NVMe / 2 TB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597933;ALMACENAMIENTO: 1 TB M.2 SSD NVMe/ 1 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB M.2 SSD NVMe/ 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597932;ALMACENAMIENTO: 1 TB M.2 SSD/ 1 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB M.2 SSD/ 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597876;ALMACENAMIENTO: 1 TB SSD;ALMACENAMIENTO;1 TB SSD
CE;ALMACENAMIENTO;1597049;ALMACENAMIENTO: 1 TB SSD;ALMACENAMIENTO;1 TB SSD
CE;ALMACENAMIENTO;2630647;ALMACENAMIENTO: 1 TB SSD / 1 TB SSD;ALMACENAMIENTO;1 TB SSD / 1 TB SSD
CE;ALMACENAMIENTO;2746986;ALMACENAMIENTO: 1 TB SSD / 2 TB SSD;ALMACENAMIENTO;1 TB SSD / 2 TB SSD
CE;ALMACENAMIENTO;1969565;ALMACENAMIENTO: 1 TB SSD / 256 SSD;ALMACENAMIENTO;1 TB SSD / 256 SSD
CE;ALMACENAMIENTO;1597896;ALMACENAMIENTO: 1 TB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597892;ALMACENAMIENTO: 1 TB SSD/2 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB SSD/2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597885;ALMACENAMIENTO: 1 TB SSD/4 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB SSD/4 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597903;ALMACENAMIENTO: 1 TB SSD/6 TB HDD 7200 RPM;ALMACENAMIENTO;1 TB SSD/6 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597839;ALMACENAMIENTO: 1.92 TB SSD;ALMACENAMIENTO;1.92 TB SSD
CE;RAM;1597822;RAM: 12 GB DDR3 1600 200 MHz;RAM;12 GB DDR3 1600 200 MHz
CE;RAM;1597806;RAM: 12 GB DDR4 2133 266 MHz;RAM;12 GB DDR4 2133 266 MHz
CE;RAM;1596992;RAM: 12 GB DDR4 2666 233 MHz;RAM;12 GB DDR4 2666 233 MHz
CE;RAM;1597777;RAM: 12 GB DDR4 3200 400 MHz;RAM;12 GB DDR4 3200 400 MHz
CE;G. F;1598026;G. F: 12 MESES CARRY-IN;G. F;12 MESES CARRY-IN
CE;G. F;1597107;G. F: 12 MESES CARRY-IN;G. F;12 MESES CARRY-IN
CE;G. F;1598025;G. F: 12 MESES ON-SITE;G. F;12 MESES ON-SITE
CE;G. F;1597108;G. F: 12 MESES ON-SITE;G. F;12 MESES ON-SITE
CE;ALMACENAMIENTO;1597867;ALMACENAMIENTO: 120 GB SSD;ALMACENAMIENTO;120 GB SSD
CE;ALMACENAMIENTO;1597857;ALMACENAMIENTO: 120 GB SSD/1 TB HDD 5400 RPM;ALMACENAMIENTO;120 GB SSD/1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597851;ALMACENAMIENTO: 120 GB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;120 GB SSD/1 TB HDD 7200 RPM
