# Exportado el: 2025-06-02 08:17:14
carId;carVal;valId;valVal
26345;PROCESADOR;2034094;PROCESADOR: INTEL CORE I9-13980HX
26345;PROCESADOR;2129363;PROCESADOR: INTEL CORE I5-13600H
26345;PROCESADOR;1693119;PROCESADOR: INTEL CORE I7-12800H
26345;PROCESADOR;1693120;PROCESADOR: AMD Ryzen 5 PRO 6650H
26345;PROCESADOR;1693121;PROCESADOR: INTEL CORE I7-11800H
26345;PROCESADOR;1693123;PROCESADOR: INTEL CORE I5-1145G7
26345;PROCESADOR;1693124;PROCESADOR: INTEL CORE I7-12950HX
26345;PROCESADOR;1693125;PROCESADOR: INTEL CORE I7-12850HX
26345;PROCESADOR;1693126;PROCESADOR: INTEL CORE I9-10980H
26345;PROCESADOR;1693127;PROCESADOR: INTEL XEON W-10855M
26345;PROCESADOR;1693128;PROCESADOR: INTEL CORE I9-10980HK
26345;PROCESADOR;1693129;PROCESADOR: INTEL CORE I5-10300H
26345;PROCESADOR;1693130;PROCESADOR: INTEL CORE I5-1135G7
26345;PROCESADOR;1693131;PROCESADOR: INTEL CORE I7-11850H
26345;PROCESADOR;1693132;PROCESADOR: INTEL CORE I9-11950H
26345;PROCESADOR;1693133;PROCESADOR: INTEL CORE I7-10850H
26345;PROCESADOR;1693134;PROCESADOR: INTEL CORE I9-12900HK
26345;PROCESADOR;1693135;PROCESADOR: INTEL CORE I7-1165G7
26345;PROCESADOR;1693136;PROCESADOR: INTEL CORE I9-12900HX
26345;PROCESADOR;1693137;PROCESADOR: INTEL CORE I5-11500H
26345;PROCESADOR;1693138;PROCESADOR: INTEL CORE I7-10750H
26345;PROCESADOR;1693139;PROCESADOR: INTEL CORE I7-10610U
26345;PROCESADOR;1693140;PROCESADOR: AMD Ryzen 5 PRO 6650U
26345;PROCESADOR;1693141;PROCESADOR: AMD Ryzen 7 PRO 6850U
26345;PROCESADOR;1693142;PROCESADOR: AMD Ryzen 7 PRO 6850H
26345;PROCESADOR;1693143;PROCESADOR: INTEL CORE I9-10885H
26345;PROCESADOR;1693144;PROCESADOR: INTEL CORE I5-11400H
26345;PROCESADOR;1693145;PROCESADOR: INTEL CORE I7-1260P
26345;PROCESADOR;1693147;PROCESADOR: INTEL CORE I7-12800H
26345;PROCESADOR;1693148;PROCESADOR: INTEL CORE I9-12900H
26345;PROCESADOR;1693149;PROCESADOR: INTEL XEON W-11855M
26345;PROCESADOR;1693151;PROCESADOR: AMD RYZEN THREADRIPPER PRO 5995WX
26345;PROCESADOR;1693152;PROCESADOR: AMD RYZEN THREADRIPPER PRO 5975WX
26345;PROCESADOR;1693153;PROCESADOR: AMD RYZEN THREADRIPPER PRO 5965WX
26345;PROCESADOR;1693154;PROCESADOR: INTEL CORE I7-1185G7
26345;PROCESADOR;1693155;PROCESADOR: INTEL XEON W-11955M
26345;PROCESADOR;1693156;PROCESADOR: INTEL CORE I9-11900H
26345;PROCESADOR;1693157;PROCESADOR: INTEL CORE I7-12700H
26345;PROCESADOR;1693158;PROCESADOR: INTEL CORE I7-12800HX
26345;PROCESADOR;1693159;PROCESADOR: INTEL CORE I9-9750H
26345;PROCESADOR;1693160;PROCESADOR: INTEL XEON E-2186M
26345;PROCESADOR;1693161;PROCESADOR: INTEL CORE I7-8650U
26345;PROCESADOR;1693162;PROCESADOR: INTEL CORE I7-8550U
26345;PROCESADOR;1693163;PROCESADOR: INTEL CORE I5-8350H
26345;PROCESADOR;1693164;PROCESADOR: INTEL CORE I7-8750H
26345;PROCESADOR;1693165;PROCESADOR: INTEL CORE I7-8850H
26345;PROCESADOR;1693166;PROCESADOR: INTEL CORE I5-8300H
26345;PROCESADOR;1693167;PROCESADOR: INTEL CORE I5-8350U
26345;PROCESADOR;1693168;PROCESADOR: INTEL CORE I5-8250U
26345;PROCESADOR;1693169;PROCESADOR: INTEL CORE I5-8500T
26345;PROCESADOR;1693170;PROCESADOR: INTEL XEON E-2176M
26345;PROCESADOR;1693171;PROCESADOR: INTEL XEON E3-1535M V6
26345;PROCESADOR;1693172;PROCESADOR: INTEL XEON E3-1505M V6
26345;PROCESADOR;1693173;PROCESADOR: INTEL CORE I7-7820HQ
26345;PROCESADOR;1693174;PROCESADOR: INTEL CORE I7-7700HQ
26345;PROCESADOR;1693176;PROCESADOR: INTEL CORE I7-6500U
26345;PROCESADOR;1693177;PROCESADOR: INTEL CORE I7-7600U
