# Exportado el: 2025-06-02 08:20:37
carId;carVal;valId;valVal
26230;PROCESADOR;2489433;PROCESADOR: INTEL CORE I5-14600K
26230;PROCESADOR;2489434;PROCESADOR: INTEL CORE I7-14700K
26230;PROCESADOR;1661268;PROCESADOR: INTEL CORE I3-10300T
26230;PROCESADOR;1661269;PROCESADOR: AMD RYZEN 7 4800U
26230;PROCESADOR;1661270;PROCESADOR: INTEL CORE I3-1215U
26230;PROCESADOR;1661271;PROCESADOR: Intel Core i7-1165G7
26230;PROCESADOR;1661272;PROCESADOR: INTEL CORE I5-1235U
26230;PROCESADOR;1661274;PROCESADOR: INTEL CORE i9-11900KF
26230;PROCESADOR;1661275;PROCESADOR: INTEL CORE i7-11700F
26230;PROCESADOR;1661276;PROCESADOR: INTEL CORE i9-11900F
26230;PROCESADOR;1661277;PROCESADOR: INTEL CORE i9-11900
26230;PROCESADOR;1661278;PROCESADOR: INTEL CORE i7-11700KF
26230;PROCESADOR;1661279;PROCESADOR: INTEL CORE i5-11400
26230;PROCESADOR;1661280;PROCESADOR: INTEL CORE I5-10500T
26230;PROCESADOR;1661281;PROCESADOR: INTEL CORE I3-10110U
26230;PROCESADOR;1661282;PROCESADOR: INTEL CORE i7-11700T
26230;PROCESADOR;1661283;PROCESADOR: INTEL CORE i5-11400T
26230;PROCESADOR;1661284;PROCESADOR: INTEL CORE I7-12700H
26230;PROCESADOR;1661285;PROCESADOR: AMD RYZEN 5 5500U
26230;PROCESADOR;1661286;PROCESADOR: AMD RYZEN 3 5300U
26230;PROCESADOR;1661287;PROCESADOR: AMD RYZEN 7 5700U
26230;PROCESADOR;1661288;PROCESADOR: INTEL CORE I5-10500
26230;PROCESADOR;1661289;PROCESADOR: INTEL CORE I7-1260P
26230;PROCESADOR;1661290;PROCESADOR: INTEL CORE I3-12100
26230;PROCESADOR;1661291;PROCESADOR: INTEL CORE I3-1220P
26230;PROCESADOR;1661294;PROCESADOR: INTEL PENTIUM J5040
26230;PROCESADOR;2489435;PROCESADOR: INTEL CORE I9-14900K
26230;PROCESADOR;3865213;PROCESADOR: INTEL CORE ULTRA 5 225T
26230;PROCESADOR;3865214;PROCESADOR: INTEL CORE ULTRA 5 235T
26230;PROCESADOR;3865215;PROCESADOR: INTEL CORE ULTRA 5 245T
26230;PROCESADOR;3136772;PROCESADOR: AMD RYZEN 5 7600X
26230;PROCESADOR;3865216;PROCESADOR: INTEL CORE ULTRA 7 265T
26230;PROCESADOR;1744517;PROCESADOR: INTEL CORE I7-13700
26230;PROCESADOR;1744513;PROCESADOR: INTEL CORE I3-13100
26230;PROCESADOR;2564613;PROCESADOR: INTEL CORE I9-14900
26230;PROCESADOR;2564603;PROCESADOR: INTEL CORE I5-14400
26230;PROCESADOR;1744514;PROCESADOR: INTEL CORE I5-13400
26230;PROCESADOR;1838424;PROCESADOR: INTEL CORE I7-13620H
26230;PROCESADOR;1838427;PROCESADOR: INTEL CORE I5-13420H
26230;PROCESADOR;2129353;PROCESADOR: INTEL CORE I5-13600
26230;PROCESADOR;2034146;PROCESADOR: INTEL CORE I5-13500H
26230;PROCESADOR;2034279;PROCESADOR: AMD RYZEN 3 7320U
26230;PROCESADOR;2530231;PROCESADOR: INTEL CORE I5-12450H
26230;PROCESADOR;3850629;PROCESADOR: INTEL CORE 5-210H
26230;PROCESADOR;3850636;PROCESADOR: INTEL CORE 7-240H
26230;PROCESADOR;1738279;PROCESADOR: INTEL CORE I5-8365U
26230;PROCESADOR;2034143;PROCESADOR: INTEL CORE i7-13700H
26230;PROCESADOR;1838422;PROCESADOR: INTEL CORE I5-13500
26230;PROCESADOR;2557950;PROCESADOR: INTEL CORE I3-1315U
26230;PROCESADOR;2144337;PROCESADOR: INTEL CORE I7-1355U
26230;PROCESADOR;2564605;PROCESADOR: INTEL CORE I5-14500
26230;PROCESADOR;2564610;PROCESADOR: INTEL CORE I5-14600
26230;PROCESADOR;2564611;PROCESADOR: INTEL CORE I7-14700
26230;PROCESADOR;2034280;PROCESADOR: AMD RYZEN 5 7520U
26230;PROCESADOR;3778197;PROCESADOR: INTEL CORE ULTRA 9 285
26230;PROCESADOR;3778192;PROCESADOR: INTEL CORE ULTRA 5 235
26230;PROCESADOR;3778194;PROCESADOR: INTEL CORE ULTRA 5 245
26230;PROCESADOR;2746974;PROCESADOR: AMD RYZEN 7 7730U
26230;PROCESADOR;3778161;PROCESADOR: INTEL CORE ULTRA 5 225
26230;PROCESADOR;3778195;PROCESADOR: INTEL CORE ULTRA 7 265
26230;PROCESADOR;2027763;PROCESADOR: INTEL CORE I5-1340P
26230;PROCESADOR;2027764;PROCESADOR: INTEL CORE I7-1360P
26230;PROCESADOR;3927320;PROCESADOR: INTEL CORE i5-14500T
26230;PROCESADOR;3927316;PROCESADOR: INTEL CORE ULTRA 7 PROCESSOR 155U
26230;PROCESADOR;3927318;PROCESADOR: INTEL CORE ULTRA 5 PROCESSOR 125U
26230;PROCESADOR;2564602;PROCESADOR: INTEL CORE I3-14100
26230;PROCESADOR;2630650;PROCESADOR: INTEL CORE I5-13500T
26230;PROCESADOR;2630648;PROCESADOR: INTEL CORE I5-1335U
26230;PROCESADOR;2630651;PROCESADOR: INTEL CORE I5-12500T
26230;PROCESADOR;1661133;PROCESADOR: INTEL CORE I7-12700
26230;PROCESADOR;1661134;PROCESADOR: INTEL CORE I5-10400
26230;PROCESADOR;1661135;PROCESADOR: INTEL CORE I7-4765T
26230;PROCESADOR;1661136;PROCESADOR: INTEL CORE I5-6400
26230;PROCESADOR;1661137;PROCESADOR: NVIDIA TEGRA 4 T40S
26230;PROCESADOR;1661138;PROCESADOR: INTEL CORE I3-4130T
26230;PROCESADOR;1661139;PROCESADOR: INTEL CORE I5-3330
26230;PROCESADOR;1661140;PROCESADOR: AMD E1-6010
26230;PROCESADOR;1661141;PROCESADOR: INTEL XEON E3-1225 V5
26230;PROCESADOR;1661142;PROCESADOR: INTEL CORE I3-4170
26230;PROCESADOR;1661143;PROCESADOR: INTEL CORE I7-6700
26230;PROCESADOR;1661144;PROCESADOR: INTEL CORE I3-4150
26230;PROCESADOR;1661145;PROCESADOR: INTEL CORE I7-4770S
26230;PROCESADOR;1661146;PROCESADOR: INTEL CORE I3-4160T
26230;PROCESADOR;1661147;PROCESADOR: INTEL CORE I7-3770S
26230;PROCESADOR;1661148;PROCESADOR: INTEL CORE I3-6300T
26230;PROCESADOR;1661149;PROCESADOR: INTEL CORE I5-4460
26230;PROCESADOR;1661150;PROCESADOR: INTEL CORE I5-4590S
26230;PROCESADOR;1661151;PROCESADOR: INTEL CORE I5-3470S
26230;PROCESADOR;1661152;PROCESADOR: INTEL CORE I5-4440S
26230;PROCESADOR;1661153;PROCESADOR: INTEL CORE I5-4570S
26230;PROCESADOR;1661154;PROCESADOR: INTEL CORE I3-7100
26230;PROCESADOR;1661155;PROCESADOR: INTEL CORE I5-7400
26230;PROCESADOR;1661156;PROCESADOR: INTEL CORE I5-6300U
26230;PROCESADOR;1661157;PROCESADOR: INTEL CORE I7-7700T
26230;PROCESADOR;1661158;PROCESADOR: INTEL CORE I5 7500T
26230;PROCESADOR;1661159;PROCESADOR: INTEL CORE I5-4690S
26230;PROCESADOR;1661160;PROCESADOR: INTEL CORE I3-4160
26230;PROCESADOR;1661161;PROCESADOR: INTEL CORE I5-6500
26230;PROCESADOR;1661162;PROCESADOR: INTEL CORE I3-2120
26230;PROCESADOR;1661163;PROCESADOR: INTEL CORE I5-4460S
26230;PROCESADOR;1661164;PROCESADOR: INTEL CORE I5-6600T
26230;PROCESADOR;1661165;PROCESADOR: INTEL XEON E3-1226 V3
26230;PROCESADOR;1661166;PROCESADOR: INTEL CORE I3-3240
26230;PROCESADOR;1661167;PROCESADOR: INTEL CORE I5-6600
26230;PROCESADOR;1661168;PROCESADOR: INTEL XEON E3-1245 V5
26230;PROCESADOR;1661169;PROCESADOR: AMD E2-7110
26230;PROCESADOR;1661170;PROCESADOR: AMD E1-2500
26230;PROCESADOR;1661171;PROCESADOR: INTEL CORE I3-4130
26230;PROCESADOR;1661172;PROCESADOR: AMD E2-9000
26230;PROCESADOR;1661173;PROCESADOR: INTEL CORE I5-9500
