# Exportado el: 2025-06-02 08:25:34
carId;carVal;valId;valVal
26211;PROCESADOR;1740437;PROCESADOR: INTEL CORE I3-13100
26211;PROCESADOR;1740443;PROCESADOR: INTEL CORE I7-13700
26211;PROCESADOR;1740440;PROCESADOR: INTEL CORE I5-13400F
26211;PROCESADOR;1740444;PROCESADOR: INTEL CORE I7-13700F
26211;PROCESADOR;1740445;PROCESADOR: INTEL CORE I9-13900KF
26211;PROCESADOR;1722219;PROCESADOR: INTEL CORE I9-13900K
26211;PROCESADOR;2489430;PROCESADOR: INTEL CORE I5-14600K
26211;PROCESADOR;2489431;PROCESADOR: INTEL CORE I7-14700K
26211;PROCESADOR;2489432;PROCESADOR: INTEL CORE I9-14900K
26211;PROCESADOR;1597464;PROCESADOR: INTEL COREI3-4100E
26211;PROCESADOR;1597465;PROCESADOR: INTEL COREI5-4400E
26211;PROCESADOR;1597466;PROCESADOR: INTEL COREI5-6440EQ
26211;PROCESADOR;1597467;PROCESADOR INTEL COREI7-2710QE
26211;PROCESADOR;1597468;PROCESADOR INTEL COREI3-2330E
26211;PROCESADOR;1597469;PROCESADOR INTEL COREI7-4700EQ
26211;PROCESADOR;1597470;PROCESADOR: INTEL CORE I7-8700
26211;PROCESADOR;1597471;PROCESADOR: INTEL CORE I7-8700K
26211;PROCESADOR;1597472;PROCESADOR: AMD A8-9600
26211;PROCESADOR;1597473;PROCESADOR INTEL CORE I3-8350K
26211;PROCESADOR;1597475;PROCESADOR: INTEL CORE I5-8600K
26211;PROCESADOR;1597476;PROCESADOR: AMD RYZEN 7 1700
26211;PROCESADOR;1597477;PROCESADOR: AMD RYZEN 5-1400
26211;PROCESADOR;1597478;PROCESADOR: INTEL CORE I3-8100
26211;PROCESADOR;1597479;PROCESADOR: INTEL CORE I3-3240
26211;PROCESADOR;1597480;PROCESADOR: INTEL CELERON N3050
26211;PROCESADOR;1597481;PROCESADOR: AMD A8-6600K
26211;PROCESADOR;1597482;PROCESADOR: INTEL CELERON 1037U
